"","artists","album_name","popularity","explicit","danceability","energy","loudness","valence","tempo","time_signature","track_genre","duration"
"95","The Civil Wars","Lonely Christmas 2022",0,FALSE,0.492,0.145,-14.504,0.218,90.078,4,"acoustic",2.57
"96","The Civil Wars","Chill Christmas Dinner",0,FALSE,0.492,0.145,-14.504,0.218,90.078,4,"acoustic",2.57
"97","The Civil Wars","sadsadchristmas",0,FALSE,0.492,0.145,-14.504,0.218,90.078,4,"acoustic",2.57
"98","The Civil Wars","Christmas Country Songs 2022",0,FALSE,0.492,0.145,-14.504,0.218,90.078,4,"acoustic",2.57
"99","KT Tunstall","Del gusto de mamá",0,FALSE,0.661,0.937,-5.157,0.805,105.549,4,"acoustic",2.96
"100","KT Tunstall","OO's Music Grandi Successi",0,FALSE,0.603,0.78,-5.531,0.693,100.499,4,"acoustic",3.32
"101","Motohiro Hata","言ノ葉",58,FALSE,0.626,0.655,-6.69,0.542,92.003,4,"acoustic",4.88
"102","Callum J Wright","Somebody Else (Acoustic)",50,FALSE,0.794,0.38,-8.769,0.617,114.99,4,"acoustic",2.31
"103","Andrew Belle","Black Bear (Hushed)",59,FALSE,0.52,0.279,-10.739,0.0951,69.642,4,"acoustic",3.31
"104","Boyce Avenue;Fifth Harmony","Cover Sessions, Vol. 3",57,FALSE,0.545,0.658,-7.174,0.683,76.971,4,"acoustic",4.88
"105","Boyce Avenue","Stand by Me",60,FALSE,0.728,0.266,-7.322,0.307,115.189,4,"acoustic",3.32
"106","Gabrielle Aplin;JP Cooper","Dear Happy",61,FALSE,0.66,0.407,-8.381,0.257,133.86,4,"acoustic",3.03
"107","Mone Kamishiraishi","chouchou",49,FALSE,0.357,0.161,-10.667,0.325,83.449,4,"acoustic",5.83
"108","John Adams","You’re Beautiful (Acoustic)",55,FALSE,0.479,0.154,-11.282,0.36,147.207,4,"acoustic",3.42
"109","Kitri","Hikare Inochi",51,FALSE,0.592,0.769,-5.268,0.385,102.033,4,"acoustic",5.37
"110","Tyler Ward","Songs From Nashville",46,FALSE,0.7,0.454,-10.39,0.34,80.011,3,"acoustic",3.51
"111","Boyce Avenue","Cover Sessions, Vol. 6",57,FALSE,0.402,0.197,-10.775,0.148,100.044,3,"acoustic",2.18
"112","Andrew Belle","Dive Deep (Hushed)",58,FALSE,0.507,0.378,-9.019,0.085,135.86,4,"acoustic",3.64
"113","Ben Woodward","When the Party's over (Acoustic Piano)",51,FALSE,0.619,0.226,-13.453,0.188,124.96,3,"acoustic",3.27
"114","Augustana","All The Stars and Boulevards",63,FALSE,0.404,0.571,-5.069,0.29,147.01,4,"acoustic",4.1
"115","Matthew Perryman Jones","Living in the Shadows",53,FALSE,0.418,0.79,-6.599,0.197,175.975,4,"acoustic",3.54
"116","Boyce Avenue","Cover Sessions, Vol. 4",60,FALSE,0.633,0.299,-7.798,0.341,147.549,4,"acoustic",3.75
"117","Andrew Foy;Renee Foy","death bed (coffee for your head)",47,FALSE,0.565,0.0392,-28.276,0.601,125.399,4,"acoustic",1.87
"118","Kina Grannis","You Are My Sunshine",60,FALSE,0.664,0.0755,-19.836,0.575,80.004,1,"acoustic",2.06
"119","Jason Mraz","I Won't Give Up",66,FALSE,0.585,0.303,-10.058,0.142,136.703,3,"acoustic",4
"120","Ray LaMontagne;Sierra Ferrell","I Was Born To Love You",67,FALSE,0.65,0.271,-11.081,0.21,78.036,4,"acoustic",4.43
"121","Meg Birch","Life Sucks Playlist",43,FALSE,0.534,0.213,-8.64,0.0998,98.385,4,"acoustic",3.24
"122","Catherine Feeny","Hurricane Glass",54,FALSE,0.456,0.386,-10.293,0.612,165.733,4,"acoustic",2.58
"123","Joshua Hyslop","Where The Mountain Meets The Valley",60,FALSE,0.409,0.234,-13.711,0.145,139.832,4,"acoustic",2.65
"124","Ross Copperman","Holding On And Letting Go - Single",49,FALSE,0.502,0.53,-9.573,0.102,78.046,4,"acoustic",5.32
"125","JJ Heller","You Already Know",57,FALSE,0.496,0.117,-12.884,0.318,78.068,4,"acoustic",3.57
"126","Ben Woodward","Believer (Remix)",42,FALSE,0.585,0.724,-6.513,0.333,187.484,3,"acoustic",3.41
"127","Howie Day","Stop All the World Now (Special Edition)",67,FALSE,0.582,0.253,-11.43,0.294,90.186,4,"acoustic",4.62
"128","Ben Rector","Magic",61,FALSE,0.637,0.14,-11.472,0.392,139.78,4,"acoustic",3.57
"129","Matt Nathanson","Some Mad Hope",71,FALSE,0.672,0.623,-5.699,0.617,92.018,4,"acoustic",3.59
"130","Rachael Yamagata","Something In the Rain (Music from the Original TV Series)",49,FALSE,0.422,0.272,-10.772,0.113,143.413,4,"acoustic",4.95
"131","Parachute","The Way It Was",61,FALSE,0.47,0.801,-6.426,0.431,173.92,4,"acoustic",3.93
"132","Parachute","Wide Awake",61,FALSE,0.564,0.864,-5.121,0.534,95.984,4,"acoustic",3.82
"133","Jason Mraz","Waiting for My Rocket to Come (Expanded Edition)",20,FALSE,0.521,0.495,-7.756,0.116,135.061,4,"acoustic",5.65
"134","Jason Mraz","Waiting for My Rocket to Come (Expanded Edition)",22,FALSE,0.616,0.81,-6.51,0.79,97.994,4,"acoustic",4.95
"135","Jason Mraz","Waiting for My Rocket to Come (Expanded Edition)",35,FALSE,0.615,0.812,-6.573,0.74,98.954,4,"acoustic",3.64
"136","Eddie Vedder","Into The Wild (Music For The Motion Picture)",60,FALSE,0.478,0.305,-13.062,0.0974,108.66,4,"acoustic",2.53
"137","Gabrielle Aplin","English Rain",59,FALSE,0.479,0.541,-9.862,0.321,85.994,4,"acoustic",3.02
"138","KT Tunstall","Eye To The Telescope",73,FALSE,0.587,0.767,-5.713,0.664,100.38,4,"acoustic",3.36
"139","Jason Mraz","Waiting for My Rocket to Come (Expanded Edition)",22,FALSE,0.514,0.569,-7.866,0.264,142.597,4,"acoustic",3.2
"140","Jason Mraz","Waiting for My Rocket to Come (Expanded Edition)",19,FALSE,0.646,0.836,-6.203,0.727,105.991,4,"acoustic",3.31
"141","Jason Mraz","Waiting for My Rocket to Come (Expanded Edition)",24,FALSE,0.57,0.711,-4.155,0.648,163.117,4,"acoustic",3.2
"142","JJ Heller","I Dream of You: CALM",57,FALSE,0.678,0.199,-9.785,0.262,72.006,4,"acoustic",2.85
"143","Jason Mraz","Waiting for My Rocket to Come (Expanded Edition)",35,FALSE,0.589,0.867,-4.523,0.795,94.52,4,"acoustic",4.27
"144","Jason Mraz","Waiting for My Rocket to Come (Expanded Edition)",20,FALSE,0.626,0.926,-4.441,0.548,99.997,4,"acoustic",3.69
"145","Jason Mraz","Waiting for My Rocket to Come (Expanded Edition)",18,FALSE,0.686,0.556,-8.5,0.36,112.997,4,"acoustic",4.25
"146","Jason Mraz","Waiting for My Rocket to Come (Expanded Edition)",19,FALSE,0.56,0.832,-5.595,0.802,100.957,4,"acoustic",3.48
"147","Jason Mraz","Waiting for My Rocket to Come (Expanded Edition)",23,FALSE,0.619,0.793,-5.964,0.892,177.991,4,"acoustic",3.58
"148","Jason Mraz","Waiting for My Rocket to Come (Expanded Edition)",19,FALSE,0.56,0.278,-12.501,0.594,102.187,4,"acoustic",4.4
"149","Jason Mraz","Waiting for My Rocket to Come (Expanded Edition)",18,FALSE,0.595,0.805,-7.926,0.359,102.44,4,"acoustic",4.82
"150","Eddie Vedder","Into The Wild (Music For The Motion Picture)",65,FALSE,0.438,0.827,-6.531,0.645,143.377,4,"acoustic",5.37
"151","Susie Suh;Robot Koch","Here with Me",55,FALSE,0.582,0.375,-13.277,0.106,129.909,4,"acoustic",3.98
"152","Tyler Ward;Lindsey Stirling;Kina Grannis","Tyler Ward Covers, Vol. 5",47,FALSE,0.453,0.295,-12.881,0.14,146.022,4,"acoustic",4.61
"153","Howie Day","Stop All The World Now",56,FALSE,0.636,0.625,-7.895,0.342,93.931,4,"acoustic",4.15
"154","Eden Elf;Ren Avel","get better",53,FALSE,0.639,0.201,-16.613,0.4,88.107,4,"acoustic",1.86
"155","Kitri","Hikare Inochi",49,FALSE,0.69,0.423,-9.194,0.59,130.121,4,"acoustic",3.51
"156","Boyce Avenue;Rachel Grae","Let It Go",51,FALSE,0.599,0.349,-9.269,0.444,147.913,4,"acoustic",4.26
"157","Chord Overstreet","What You Need",53,FALSE,0.519,0.264,-11.171,0.192,140.354,4,"acoustic",3.03
"158","Five For Fighting","The Battle for Everything",66,FALSE,0.643,0.569,-7.459,0.275,120.507,4,"acoustic",4.08
"159","Andrew Belle","Nightshade",56,FALSE,0.573,0.624,-9.076,0.529,161.025,4,"acoustic",2.91
"160","Rachael Yamagata","One Spring Night (Original Television Soundtrack), Pt. 1",47,FALSE,0.654,0.821,-5.472,0.613,111.958,4,"acoustic",3.91
"161","Cary Brothers","Under Control",51,FALSE,0.426,0.399,-8.447,0.217,115.979,4,"acoustic",4.26
"162","The Mayries","As It Was",55,FALSE,0.505,0.21,-11.349,0.323,80.721,4,"acoustic",2.94
"163","Jason Mraz","I'm Yours",60,FALSE,0.693,0.43,-9.395,0.731,151.001,4,"acoustic",4.06
"164","Joseph Sullinger","Chi Mai",40,FALSE,0.739,0.287,-14.007,0.557,80.64,4,"acoustic",3.14
"165","A Great Big World;Christina Aguilera","Say Something",58,FALSE,0.453,0.146,-8.976,0.0915,137.905,3,"acoustic",3.82
"166","Parachute","Parachute",55,FALSE,0.606,0.54,-6.271,0.249,79.952,4,"acoustic",3.61
"167","Zack Tabudlo;Yonnyboii","Take Me Back",50,FALSE,0.595,0.646,-5.495,0.563,120.049,4,"acoustic",2.48
"168","Tobey Rosen","Whole Again (Acoustic Version)",52,FALSE,0.736,0.145,-9.215,0.235,129.832,4,"acoustic",2.62
"169","The Mayries","Overpass Graffiti",54,FALSE,0.479,0.126,-13.974,0.279,96.327,4,"acoustic",3.78
"170","Sara Bareilles","Little Voice",73,FALSE,0.583,0.786,-3.142,0.573,123.055,4,"acoustic",4.31
"171","Andrew Foy;Renee Foy","Let Her Go",38,FALSE,0.549,0.291,-13.457,0.376,75.153,4,"acoustic",3.23
"172","Aqualung","Still Life",53,FALSE,0.418,0.489,-8.373,0.398,72.891,4,"acoustic",4.04
"173","Tyler Ward;Karis;Ray Lorraine","Love Story",55,FALSE,0.498,0.12,-17.721,0.338,121.187,4,"acoustic",3.88
"174","Agustín Amigó;Nylonwings","Mujer con Abanico",41,FALSE,0.769,0.135,-12.049,0.471,103.939,4,"acoustic",2.61
"175","Amy Stroup","In the Shadows",46,FALSE,0.434,0.469,-7.849,0.0568,136.282,4,"acoustic",4.4
"176","Boyce Avenue;Connie Talbot","Can You Feel the Love Tonight",63,FALSE,0.452,0.198,-9.374,0.217,119.499,4,"acoustic",4.18
"177","Brandi Carlile","The Story",66,FALSE,0.544,0.5,-8.253,0.177,93.621,4,"acoustic",3.97
"178","JJ Heller","Better",54,FALSE,0.662,0.187,-9.003,0.233,104.988,4,"acoustic",3.6
"179","Kina Grannis","Iris",62,FALSE,0.497,0.13,-15.571,0.179,130.769,3,"acoustic",3.02
"180","The Mayries","#Acoustic",57,FALSE,0.528,0.291,-9.696,0.355,76.805,4,"acoustic",2.62
"181","Caleb Santos;Viva Music Publishing Inc.","I Need You More Today",68,FALSE,0.461,0.522,-7.513,0.446,157.768,4,"acoustic",3.9
"182","Boyce Avenue","Cover Sessions, Vol. 4",62,FALSE,0.483,0.506,-6.058,0.705,87.337,4,"acoustic",3.61
"183","Jason Mraz","Know.",53,FALSE,0.392,0.423,-7.813,0.288,113.537,4,"acoustic",4.09
"184","Rachael Yamagata","Something In the Rain (Music from the Original TV Series)",44,FALSE,0.42,0.2,-18.827,0.164,87.248,4,"acoustic",3.66
"185","Parachute","The Way It Was",57,FALSE,0.657,0.716,-5.675,0.435,93.924,4,"acoustic",4.15
"186","Priscilla Ahn","When Marnie Was There Song Album - Just Know That I Love You.",52,FALSE,0.495,0.185,-13.824,0.196,101.89,4,"acoustic",4.21
"187","Chord Overstreet","Tree House Tapes",53,FALSE,0.55,0.499,-9.502,0.144,86.966,1,"acoustic",4.11
"188","JJ Heller","I Believe in You",53,FALSE,0.534,0.359,-9.311,0.267,131.804,4,"acoustic",3.31
"189","Jon Bryant","Cult Classic",55,FALSE,0.378,0.52,-10.965,0.357,73.744,4,"acoustic",3.78
"190","Donovan Woods","Hard Settle, Ain't Troubled",66,FALSE,0.606,0.349,-13.967,0.156,80.071,4,"acoustic",3.4
"191","Ross Copperman","Holding On and Letting Go LP",49,FALSE,0.486,0.555,-9.466,0.0992,77.987,4,"acoustic",5.29
"192","Joshua Hyslop","In Deepest Blue (Bonus Track Version)",60,FALSE,0.577,0.446,-11.343,0.262,81.005,4,"acoustic",4.36
"193","Angelina Cruz","Hanggang Kailan (Umuwi Ka Na Baby)",38,FALSE,0.59,0.407,-9.079,0.276,145.852,4,"acoustic",3.53
"194","Stephen Speaks","No More Doubt",67,FALSE,0.538,0.315,-10.057,0.4,91.921,3,"acoustic",3.65
"195","A Great Big World","Is There Anybody Out There? - Track by Track Commentary",57,FALSE,0.447,0.158,-7.571,0.142,140.942,3,"acoustic",3.89
"196","Eddie Vedder","Into The Wild (Music For The Motion Picture)",60,FALSE,0.401,0.58,-6.86,0.526,173.277,3,"acoustic",2.61
"197","The Weepies;Deb Talan;Steve Tannen","Say I Am You",64,FALSE,0.502,0.311,-13.421,0.4,107.612,4,"acoustic",2.75
"198","Freddie King","Thanksgiving Party",0,FALSE,0.678,0.612,-9.764,0.857,118.381,4,"acoustic",3.61
"199","Taj Mahal","Supa Chill",0,FALSE,0.65,0.406,-13.492,0.862,79.642,4,"acoustic",4.19
"200","Keb' Mo';Gerald Albright","Un tecito y a mimir",0,FALSE,0.649,0.399,-7.894,0.342,97.498,3,"acoustic",3.49
"201","Motohiro Hata","青の光景",61,FALSE,0.523,0.445,-6.359,0.336,78.957,4,"acoustic",5.14
"202","Thomas Daniel","Since U Been Gone",50,FALSE,0.538,0.162,-13.31,0.366,94.981,4,"acoustic",3.69
"203","Masayoshi Yamazaki","One more time,One more chance",47,FALSE,0.519,0.429,-7.707,0.396,129.491,4,"acoustic",5.51
"204","Kina Grannis","Creep",58,FALSE,0.585,0.103,-12.682,0.179,133.057,4,"acoustic",3.9
"205","Todd Carey;Ariza;Chuck Leavell","Higher Love",30,FALSE,0.578,0.763,-4.824,0.394,96.808,4,"acoustic",2.89
"206","YUZU","Shinsekai",52,FALSE,0.223,0.891,-3.626,0.333,159.888,4,"acoustic",5.61
"207","Canyon City","How Long Will I Love You",55,FALSE,0.382,0.157,-16.157,0.224,136.11,4,"acoustic",2.41
"208","Zack Tabudlo","Binibini",67,FALSE,0.642,0.374,-10.606,0.0979,129.863,4,"acoustic",3.69
"209","Aron Wright","You Were Supposed to Be Different",45,FALSE,0.436,0.239,-12.83,0.137,73.761,4,"acoustic",3.22
"210","Boyce Avenue","Cover Sessions, Vol. 3",56,FALSE,0.702,0.326,-6.638,0.628,79.904,4,"acoustic",4.64
"211","Jonah Baker","Covers",37,FALSE,0.593,0.292,-12.755,0.375,111.121,4,"acoustic",3.55
"212","The Civil Wars","Barton Hollow",54,FALSE,0.285,0.186,-12.729,0.203,153.848,4,"acoustic",3.66
"213","Howie Day","Stop All The World Now",66,FALSE,0.636,0.625,-7.895,0.342,93.931,4,"acoustic",4.15
"214","Ingrid Michaelson","Be OK",63,FALSE,0.698,0.285,-7.632,0.53,135.027,4,"acoustic",2.47
"215","Zack Tabudlo;Billkin","Give Me Your Forever",58,FALSE,0.601,0.439,-7.589,0.275,99.976,4,"acoustic",4.08
"216","Landon Pigg","Coffee Shop",55,FALSE,0.332,0.298,-14.174,0.243,83.555,4,"acoustic",4.51
"217","Anna Nalick","Wreck of the Day",65,FALSE,0.386,0.452,-7.715,0.287,169.837,3,"acoustic",4.66
